Film,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Rotten Tomatoes vs Metacritic  deviance,Average audience ,Audience vs Critics deviance ,Primary Genre,Genres,Script Type,Opening weekend ($million),Opening Weekend,Domestic gross ($million),Domestic Gross,Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million), of Gross earned abroad,Budget ($million),Budget collect, Budget recovered opening weekend,Year,Oscar Winners,Oscar Detail,Link
This is the End,83,67,75.0,71,71,0,71,4,Action,"Action, Sci-Fi, Fantasy, Comedy",original screenplay,20.7,"2,07,19,162",101.5,"10,14,70,202",24.6,"2,45,71,120","12,60,41,120",126,19.49%,32,394%,64.75%,2013,,,http://www.amazon.com/gp/product/B00EP0MY64/?tag=titb-20
John Wick,85,68,76.5,80,79,1,79.5,-3,action,"action, thriller",original screenplay ,14.4,"1,44,15,922",43.0,"4,30,37,835",35.7,"3,57,02,062","7,87,39,897",79,45.34%,20,394%,72.08%,2014,,,http://www.amazon.com/gp/product/B00R8Q0KV8/?tag=titb-20
Halloween,26,47,36.5,59,57,2,58,-21.5,horror,horror,remake / reboot,26.4,"2,63,62,367",58.3,"5,82,72,029",20.2,"2,01,97,855","7,84,69,884",78,25.74%,20,392%,131.81%,2007,,,-
About Last Night (2014),68,62,65.0,66,61,5,63.5,1.5,drama,"drama, comedy, romance",adaptation,25.6,"2,56,49,011",48.6,"4,86,37,684",0.4,"3,65,000","4,90,02,684",49,0.74%,13,392%,205.19%,2014,,,http://www.amazon.com/gp/product/B00IGE5IG8/?tag=titb-20
The Wolf of Wall Street,77,75,76.0,82,78,4,80,-4,Biography,"Biography, Drama, Comedy, Crime",based on a true story,18.4,"1,83,61,578",116.9,"11,69,00,694",275.1,"27,51,00,000","39,20,00,694",392,70.18%,100,392%,18.36%,2013,,,http://www.amazon.com/gp/product/B00IIUATDM/?tag=titb-20
Scary Movie 5,4,11,7.5,39,25,14,32,-24.5,Comedy,"Thriller, Horror, Comedy",sequel,14.2,"1,41,57,367",32.0,"3,20,15,787",46.4,"4,63,62,957","7,83,78,744",78,59.15%,20,392%,70.79%,2013,,,http://www.amazon.com/gp/product/B00EAZCQ8K/?tag=titb-20
Jumanji: The Next Level,71,58,65,87,64,23,76,-11,Action,"Action, Adventure, Comedy",sequel,59.3,"5,92,51,543",192.1,"19,20,76,805",297.3,"29,72,95,047","48,93,71,852",489,60.75%,125,391%,47.40%,2019,,,https://www.amazon.co.uk/Jumanji-Next-Level-Dwayne-Johnson/dp/B0825CCP1Z/ref=sr_1_2?crid=32SDFJT8YCWX6&keywords=jumanji+the+next+level&qid=1577973625&s=instant-video&sprefix=Jumanji3A+The+Next+Level2Cinstant-video2C144&sr=1-2
Pineapple Express,68,64,66,74,71,3,72.5,-6.5,action,"action, comedy, crime",original screenplay,23.2,"2,32,00,000",87.3,"8,73,40,000",14.3,"1,42,80,000","10,16,20,000",102,14.05%,26,391%,89.23%,2008,,,http://www.amazon.com/gp/product/B00DC5OICG/?tag=titb-20
"Love, Simon",92,72,82,89,82,7,85.5,-4,Drama,Drama,adaptation,11.8,"1,17,56,244",40.8,"4,08,26,341",25.5,"2,54,76,084","6,63,02,425",663,38.42%,17,390%,69.15%,2018,,,https://www.amazon.com/Love-Simon-Nick-Robinson/dp/B07B427P5V/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975610&sr=1-2&keywords=Love2C+Simon
The LEGO Batman Movie,91,75,83,80,76,4,78,5,animation,animation,sequel,53.0,"5,30,03,468",175.8,"17,57,50,384",136.2,"13,62,00,000","31,19,50,384",312,43.66%,80,390%,66.25%,2017,,,https://www.amazon.co.uk/LEGO-Batman-Movie-Will-Arnett/dp/B01MZGF2DX/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981581&sr=1-1&keywords=The+LEGO+Batman+Movie
I Am Legend,69,65,67.0,68,71,-3,69.5,-2.5,sci-fi,"sci-fi, horror",adaptation,77.2,"7,72,11,321",256.4,"25,63,93,010",327.8,"32,77,62,415","58,41,55,425",584,56.11%,150,389%,51.47%,2007,,,http://www.amazon.co.uk/I-Am-Legend-Will-Smith/dp/B00FYO7S4S/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386082&sr=1-1&keywords=I+Am+Legend
Ice Age: Collision Course,13,34,23.5,40,44,-4,42,-18.5,Adventure,Adventure,sequel,21.4,"2,13,73,064",64.1,"6,40,63,008",343.4,"34,33,83,010","40,74,46,018",407,84.28%,105,388%,20.36%,2016,,,https://www.amazon.com/Ice-Age-Collision-Ray-Romano/dp/B01IS5QPXE/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219161&sr=1-1&keywords=Ice+Age3A+Collision+Course
Teenage Mutant Ninja Turtles,21,31,26.0,53,50,3,51.5,-25.5,action,"action, adventure, sci-fi, fantasy, comedy, animation",original screenplay ,65.6,"6,55,75,105",191.2,"19,12,04,754",293.8,"29,38,00,000","48,50,04,754",485,60.58%,125,388%,52.46%,2014,,,http://www.amazon.com/gp/product/B00R2Z3SZA/?tag=titb-20
Sing,69,59,64.0,75,52,23,63.5,0.5,Animation,Animation,original screenplay,35.3,"3,52,58,145",187.0,"18,70,37,310",103.7,"10,37,05,860","29,07,43,170",291,35.67%,75,388%,47.01%,2016,,,https://www.amazon.com/Sing-Matthew-McConaughey/dp/B01NCIFSMT/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483641241&sr=1-1&keywords=Sing
The Danish Girl,69,66,67.5,73,68,5,70.5,-3.0,Drama,Drama,adaptation,0.2,"1,87,318",5.1,"50,63,669",53.1,"5,30,77,505","5,81,41,174",58,91.29%,15,388%,1.25%,2016,Oscar Winner,Actress in a Supporting Role,https://www.amazon.com/Danish-Girl-Eddie-Redmayne/dp/B01AZ2636M/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481217923&sr=1-1&keywords=The+Danish+Girl
The Bucket List,41,42,41.5,77,74,3,75.5,-34,thriller,thriller,original screenplay,19.4,"1,93,92,416",93.5,"9,34,66,502",80.8,"8,08,43,791","17,43,10,293",174,46.38%,45,387%,43.09%,2007,,,http://www.amazon.co.uk/Bucket-List-Jack-Nicholson/dp/B00EU76FIA/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386594&sr=1-1&keywords=The+Bucket+List
Contraband,51,51,51.0,58,60,-2,59,-8,action,"action, crime, drama",remake / reboot,24.3,"2,43,49,815",66.5,"6,65,28,000",29.7,"2,97,34,212","9,62,62,212",96,30.89%,25,385%,97.40%,2012,,,http://www.amazon.com/gp/product/B007X16GFC/?tag=titb-20
2012,39,49,44.0,63,54,9,58.5,-14.5,action,"action, adventure, sci-fi",original screenplay,65.3,"6,53,00,000",166.1,"16,61,20,000",603.6,"60,35,70,000","76,96,90,000",770,78.42%,200,385%,32.65%,2009,,,http://www.amazon.com/gp/product/B00S4P24GQ/?tag=titb-20
Bride Wars ,11,24,17.5,56,37,19,46.5,-29,comedy,"comedy, romance",original screenplay,21.1,"2,11,00,000",58.8,"5,87,50,000",56.0,"5,59,50,000","11,51,50,000",115,48.59%,30,384%,70.33%,2009,,,http://www.amazon.com/gp/product/B0027W8T7K/?tag=titb-20
The Hobbit: The Battle of the Five Armies,61,59,60.0,76,70,6,73,-13,adventure,"adventure, fantasy",sequel,54.7,"5,47,24,334",255.1,"25,51,19,788",700.0,"70,00,00,000","95,51,19,788",955,73.29%,250,382%,21.89%,2014,,,http://www.amazon.com/gp/product/B015K53VXW/?tag=titb-20
Twilight: Breaking Dawn,26,45,35.5,68,43,25,55.5,-20.0,adventure,"adventure, fantasy",sequel,138.1,"13,81,20,000",281.3,"28,12,90,000",430.9,"43,08,80,000","41,94,10,281",419,102.73%,110,381%,125.56%,2011,,,http://www.amazon.com/gp/product/B00BLQQQJ6/?tag=titb-20
Hope Springs,74,65,69.5,56,67,-11,61.5,8,comedy,"comedy, romance",original screenplay,14.7,"1,46,50,121",63.5,"6,35,36,011",50.7,"5,07,45,040","11,42,81,051",114,44.40%,30,381%,48.83%,2012,,,http://www.amazon.com/gp/product/B00AHSINKO/?tag=titb-20
Kingsman: The Golden Circle,51,44,48,68,66,2,67,-20,action,"action, comedy","sequel, adaptation",39.0,"3,90,23,010",100.1,"10,01,48,463",295.2,"29,52,24,607","39,53,73,070",395,74.67%,104,380%,37.52%,2017,,,https://www.amazon.co.uk/Kingsman-Golden-Circle-Colin-Firth/dp/B075MN78VR/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978535&sr=1-1&keywords=Kingsman3A+The+Golden+Circle
Hobbs and Shaw,67,60,64,88,66,22,77,-14,Action,Action,sequel,60.0,"6,00,38,950",173.8,"17,38,10,100",585.1,"58,51,00,000","75,89,10,100",759,77.10%,200,379%,30.02%,2019,,,https://www.amazon.co.uk/Fast-Furious-Hobbs-Dwayne-Johnson/dp/B07WHJFN3L/ref=sr_1_1?crid=3HRB3SJOA6JPD&keywords=fast+26+furious+presents+hobbs+26+shaw&qid=1577973429&s=instant-video&sprefix=Fast+26+Furious+Presents3A+Hobbs+and+Shaw2Cinstant-video2C147&sr=1-1
Thor: The Dark World,65,54,59.5,78,74,4,76,-16.5,Action,"Action, Adventure, Fantasy",sequel,85.7,"8,57,37,841",206.4,"20,63,62,140",438.2,"43,82,09,262","64,47,83,140",645,67.96%,170,379%,50.43%,2013,,,http://www.amazon.com/gp/product/B00IMYZL2S/?tag=titb-20
Vantage Point,35,66,50.5,61,83,-22,72,-21.5,action,"action, crime, thriller",original screenplay,22.9,"2,28,70,000",72.3,"7,22,70,000",78.9,"7,89,00,000","15,11,70,000",151,52.19%,40,378%,57.18%,2008,,,http://www.amazon.com/gp/product/B001DIZPXA/?tag=titb-20
The Forest,76,34,55.0,42,71,-29,56.5,-1.5,thriller,thriller,original screenplay,12.7,"1,27,41,176",26.6,"2,65,94,261",11.0,"1,10,14,038","3,76,08,299",38,29.29%,10,376%,127.41%,2016,,,https://www.amazon.com/Forest-Natalie-Dormer/dp/B01D5FLDH0/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218740&sr=1-1&keywords=The+Forest
Teen Titans Go! To The Movies,90,69,80,72,64,8,68,12,Adventure,Adventure,adaptation,10.4,"1,04,11,189",28.2,"2,82,35,020",9.4,"93,69,213","3,76,04,233",376,24.92%,10,376%,104.11%,2018,,,https://www.amazon.com/Teen-Titans-Movies-Greg-Cipes/dp/B07JBKDS5Q/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546974922&sr=1-1&keywords=Teen+Titans+Go21+To+The+Movies
X-Men: Days of Future Past,91,74,82.5,92,83,9,87.5,-5,action,"action, adventure, sci-fi, thriller, fantasy",sequel,90.8,"9,08,23,660",233.9,"23,39,21,534",514.2,"51,42,00,000","74,81,21,534",748,68.73%,200,374%,45.41%,2014,,,http://www.amazon.com/gp/product/B00OH74BXY/?tag=titb-20
Harry Potter and the Half-Blood Prince ,83,78,80.5,75,69,6,72,8.5,adventure,"adventure, family, fantasy",sequel,77.8,"7,78,00,000",302.0,"30,20,00,000",632.0,"63,20,00,000","93,40,00,000",934,67.67%,250,374%,31.12%,2009,,,http://www.amazon.com/gp/product/B0091X4EYK/?tag=titb-20
Lone Survivor,75,60,67.5,87,75,12,81,-13.5,Action,"Action, Biography, Drama, Thriller, War",adaptation,0.1,"90,872",125.1,"12,50,95,601",24.2,"2,42,00,000","14,92,95,601",149,16.21%,40,373%,0.23%,2013,,,http://www.amazon.com/gp/product/B00JX1ROME/?tag=titb-20
Tyler Perry's Why Did I get Married,46,54,50,78,78,0,78,-28,comedy,comedy,adaptation,21.4,"2,13,53,789",55.2,"5,52,04,525",0.7,"6,58,361","5,58,62,886",56,1.18%,15,372%,142.36%,2007,,,-
21 and Over,27,34,30.5,47,54,-7,50.5,-20,Comedy,Comedy,original screenplay,8.8,"87,54,168",25.7,"2,56,82,380",22.4,"2,23,83,292","4,83,83,672",48,46.26%,13,372%,67.34%,2013,,,http://www.amazon.com/gp/product/B00DGNOJ00/?tag=titb-20
Now You See Me 2,34,46,40.0,55,64,-9,59.5,-19.5,thriller,thriller,sequel,22.4,"2,23,83,146",65.1,"6,50,75,540",269.8,"26,98,19,311","33,48,94,851",335,80.57%,90,372%,24.87%,2016,,,https://www.amazon.com/Now-You-See-Me-2/dp/B01GPH7UFO/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219173&sr=1-1&keywords=Now+You+See+Me+2
Michael Clayton,90,82,86,69,78,-9,73.5,12.5,thriller,thriller,original screenplay,0.7,"7,19,910",49.0,"4,90,33,882",44.0,"4,39,57,953","9,29,91,835",93,47.27%,25,372%,2.88%,2007,Oscar Winner,Best Supporting Actress,-
Kung Fu Panda 3,87,66,76.5,79,75,4,77,-0.5,Adventure,Adventure,sequel,41.3,"4,12,82,042",143.5,"14,35,28,619",376.4,"37,63,52,736","51,98,81,355",520,72.39%,140,371%,29.49%,2016,,,https://www.amazon.com/Kung-Fu-Panda-Jack-Black/dp/B01B5I1A5Y/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219446&sr=1-1&keywords=Kung+Fu+Panda+3
Tyler Perry's The Family That Preys,51,49,50,36,88,-52,62,-12,drama,drama,original screenplay,17.4,"1,73,80,000",37.1,"3,71,10,000",0.0,0,"3,71,05,289",37,0.00%,10,371%,173.80%,2008,,,http://www.amazon.com/gp/product/B001OFIG2Y/?tag=titb-20
Into the Wild,82,73,77.5,89,82,7,85.5,-8,adventure,adventure,adaptation,0.2,"2,12,440",18.4,"1,83,54,356",37.3,"3,72,80,210","5,56,34,566",56,67.01%,15,371%,1.42%,2007,,,http://www.amazon.co.uk/INTO-WILD-Emile-Hirsch/dp/B00FYOAO4E/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386144&sr=1-1&keywords=Into+the+Wild
Resident Evil: Retribution,31,39,35.0,51,50,1,50.5,-15.5,action,"action, horror, sci-fi",sequel,21.1,"2,10,52,227",42.3,"4,23,45,531",197.8,"19,78,13,724","24,01,59,255",240,82.37%,65,369%,32.39%,2012,,,http://www.amazon.com/gp/product/B00APUQMD4/?tag=titb-20
Monsters University,78,65,71.5,82,78,4,80,-8.5,Adventure,"Adventure, Fantasy, Comedy, Animation, Family",sequel,82.4,"8,24,29,469",268.5,"26,84,92,764",475.7,"47,57,36,673","73,88,92,764",739,64.39%,200,369%,41.21%,2013,,,http://www.amazon.com/gp/product/B00G9U7NEQ/?tag=titb-20
Obsessed ,20,25,22.5,50,53,-3,51.5,-29,thriller,thriller,original screenplay,28.6,"2,86,00,000",68.3,"6,82,60,000",5.6,"55,60,000","7,38,20,000",74,7.53%,20,369%,143.00%,2009,,,http://www.amazon.com/gp/product/B002KCYIEA/?tag=titb-20
Midnight in Paris,93,81,87.0,84,78,6,81,6,comedy,"comedy, fantasy, romance",original screenplay,5.8,"58,30,000",56.8,"5,68,20,000",94.3,"9,43,00,000","6,26,50,057",63,150.52%,17,369%,34.29%,2011,Oscar Winner,Best Original Screenplay,http://www.amazon.com/gp/product/B006O5Y09C/?tag=titb-20
Shutter Island,68,63,65.5,73,77,-4,75,-9.5,thriller,"mystery, thriller",adaptation,41.0,"4,10,00,000",128.0,"12,80,10,000",166.8,"16,67,90,000","29,48,00,000",295,56.58%,80,369%,51.25%,2010,,,http://www.amazon.com/gp/product/B003NTSBUG/?tag=titb-20
Knowing ,33,41,37.0,50,61,-11,55.5,-18.5,sci-fi,"mystery, sci-fi",original screenplay,24.6,"2,46,00,000",80.0,"7,99,50,000",103.6,"10,36,30,000","18,35,80,000",184,56.45%,50,367%,49.20%,2009,,,http://www.amazon.com/gp/product/B002GGKBT6/?tag=titb-20
Ocean's 13,70,62,66,75,64,11,69.5,-3.5,crime,"crime, comedy",sequel,36.1,"3,61,33,403",117.2,"11,71,54,724",194.2,"19,41,57,900","31,13,12,624",311,62.37%,85,366%,42.51%,2007,,,http://www.amazon.co.uk/Oceans-Thirteen-George-Clooney/dp/B00HNYCP90/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386359&sr=1-1&keywords=Ocean27s+13
Tyler Perry's A Madea Family Funeral,13,39,26,24,37,-13,31,-5,Comedy,Comedy,original screenplay,27.1,"2,70,62,332",72.1,"7,20,90,992",1.1,"11,36,218","7,32,27,210",73,1.55%,20,366%,135.31%,2019,,,https://www.amazon.co.uk/Tyler-Perrys-Madea-Family-Funeral/dp/B07S86XJD4/ref=sr_1_1?keywords=Tyler+Perry27s+A+Madea+Family+Funeral&qid=1577974532&s=instant-video&sr=1-1
The Kite Runner,66,61,63.5,84,79,5,81.5,-18,drama,drama,adaptation,0.5,"4,71,713",15.8,"1,58,00,078",57.4,"5,73,93,800","7,31,93,878",73,78.41%,20,366%,2.36%,2007,,,http://www.amazon.co.uk/KITE-RUNNER-Khalid-Abdalla/dp/B00FZ3SE2I/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386669&sr=1-1&keywords=The+Kite+Runner
The Intruder,32,39,36,70,47,23,59,-23,thriller,Thriller,original screenplay,10.9,"1,08,55,054",35.4,"3,53,88,976",1.2,"11,80,239","3,65,69,215",37,3.23%,10,366%,108.55%,2019,,,https://www.amazon.co.uk/Intruder-Dennis-Quaid/dp/B07RG5VS6L/ref=sr_1_1?keywords=The+Intruder&qid=1577974400&s=instant-video&sr=1-1
Music and Lyrics,63,59,61.0,68,83,-15,75.5,-14.5,romance,romantic comedy,original screenplay,13.6,"1,36,23,630",50.6,"5,05,72,589",95.3,"9,53,23,833","14,58,96,422",146,65.34%,40,365%,34.06%,2007,,,http://www.amazon.co.uk/Music-Lyrics-Hugh-Grant/dp/B00I70JJIY/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386273&sr=1-1&keywords=Music+and+Lyrics
Manchester by the Sea,97,96,96.5,81,79,2,80,16.5,Drama,Drama,original screenplay,0.3,"2,56,498",30.3,"3,03,08,167",0.7,"6,72,483","3,09,80,650",31,2.17%,9,364%,3.02%,2016,,,https://www.amazon.com/Manchester-Sea-Casey-Affleck/dp/B01M6BFCRC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1483640884&sr=1-1&keywords=Manchester+by+the+Sea
Diary of a Wimpy Kid 2: Rodrick Rules,47,51,49,63,72,-9,67.5,-18.5,comedy,"comedy, family",sequel,23.8,"2,37,50,000",52.7,"5,27,00,000",19.7,"1,97,20,000","7,64,50,053",76,25.79%,21,364%,113.10%,2011,,,http://www.amazon.com/gp/product/B00574P9EQ/?tag=titb-20
Jack Reacher,61,50,55.5,67,62,5,64.5,-9,action,"action, crime, thriller",adaptation,15.2,"1,52,10,156",80.1,"8,00,70,736",138.3,"13,82,69,859","21,83,40,595",218,63.33%,60,364%,25.35%,2012,,,http://www.amazon.com/gp/product/B00COGY2P2/?tag=titb-20
Limitless,69,59,64.0,73,72,1,72.5,-8.5,sci-fi,"mystery, sci-fi, thriller",adaptation,18.9,"1,89,10,000",79.3,"7,92,50,000",82.6,"8,26,00,000","9,81,60,079",98,84.15%,27,364%,70.04%,2011,,,http://www.amazon.com/gp/product/B005DD7TI0/?tag=titb-20
Transporter 3,36,51,43.5,58,57,1,57.5,-14,action,"action, adventure, crime",sequel,12.1,"1,20,60,000",31.7,"3,17,20,000",77.3,"7,72,60,000","10,89,80,000",109,70.89%,30,363%,40.20%,2008,,,http://www.amazon.com/gp/product/B001RPC8B6/?tag=titb-20
The Secret Life of Bees,56,57,56.5,78,84,-6,81,-24.5,drama,drama,adaptation,10.5,"1,05,30,000",37.8,"3,77,70,000",2.2,"21,80,000","3,99,50,000",40,5.46%,11,363%,95.73%,2008,,,http://www.amazon.com/gp/product/B001RG8II2/?tag=titb-20
The Girl on the Train,44,48,46.0,54,61,-7,57.5,-11.5,thriller,thriller,adaptation,24.5,"2,45,36,265",73.5,"7,34,66,229",89.8,"8,97,94,593","16,32,60,822",163,55.00%,45,363%,54.53%,2016,,,https://www.amazon.com/Girl-Train-Emily-Blunt/dp/B01M7V9R51/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219228&sr=1-1&keywords=The+Girl+on+the+Train
Spy,93,75,84.0,81,58,23,69.5,14.5,comedy,comedy,original screenplay,29.1,"2,90,85,719",110.8,"11,08,25,712",124.8,"12,48,40,507","23,56,66,219",236,52.97%,65,363%,44.75%,2015,,,http://www.amazon.com/gp/product/B013EZQV6E/?tag=titb-20
Harold and Kumar Escape from Guantanamo Bay,54,57,55.5,65,75,-10,70,-14.5,adventure,"adventure, comedy",sequel,14.9,"1,49,10,000",38.1,"3,81,10,000",5.4,"53,80,000","4,34,90,000",43,12.37%,12,362%,124.25%,2008,,,http://www.amazon.com/gp/product/B003KARYYC/?tag=titb-20
No Strings Attached,49,50,49.5,57,54,3,55.5,-6,comedy,"comedy, romance",original screenplay,19.7,"1,97,00,000",70.7,"7,06,60,000",78.6,"7,85,70,000","9,03,60,071",90,86.95%,25,361%,78.80%,2011,,,http://www.amazon.com/gp/product/B00503BN1M/?tag=titb-20
The Bye Bye Man,23,37,30,23,33,-10,28,2,horror,"horror, thriller",adaptation,13.5,"1,35,01,349",22.4,"2,23,95,806",4.3,"42,71,391","2,66,67,197",27,16.02%,7,360%,182.45%,2017,,,https://www.amazon.co.uk/Bye-Man-Douglas-Smith/dp/B06XSMTT3T/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546981621&sr=1-1&keywords=The+Bye+Bye+Man
Breakthrough,61,46,54,81,68,13,75,-21,Drama,Drama,adaptation,11.3,"1,12,82,333",40.7,"4,07,13,082",9.7,"97,31,276","5,04,44,358",50,19.29%,14,360%,80.59%,2019,,,https://www.amazon.co.uk/Breakthrough-Roxann-Dawson/dp/B07RRR91JF/ref=sr_1_1?keywords=Breakthrough&qid=1577973212&s=instant-video&sr=1-1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",62,54,58.0,60,54,6,57,1,comedy,"comedy, family",adaptation,18.4,"1,83,60,230",67.0,"6,69,54,149",33.7,"3,37,00,000","10,06,54,000",101,33.48%,28,359%,65.57%,2014,,,http://www.amazon.com/gp/product/B00ST1Q90C/?tag=titb-20
Tyler Perry’s Boo! A Madea Halloween,22,30,26.0,59,50,9,54.5,-28.5,Comedy,Comedy,original screenplay,28.5,"2,85,01,448",70.5,"7,05,37,890",1.3,"13,38,205","7,18,76,095",72,1.86%,20,359%,142.51%,2016,,,https://www.amazon.com/Boo-Madea-Halloween-Tyler-Perry/dp/B01M59JF0W/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481219201&sr=1-1&keywords=Tyler+PerryE28099s+Boo21+A+Madea+Halloween
Paul Blart: Mall Cop 2,5,13,9,36,24,12,30,-21,comedy,comedy,sequel,23.8,"2,37,62,435",71.0,"7,10,38,190",36.5,"3,64,92,537","10,75,30,727",108,33.94%,30,358%,79.21%,2015,,,http://www.amazon.com/gp/product/B00W96OEV4/?tag=titb-20
Hacksaw Ridge,87,71,79.0,95,86,9,90.5,-11.5,Drama,Drama,based on a true story,15.2,"1,51,90,758",64.9,"6,49,44,345",78.4,"7,83,60,000","14,33,04,345",143,54.68%,40,358%,37.98%,2016,,,https://www.amazon.com/Hacksaw-Ridge-Andrew-Garfield/dp/B01MCXX4K5/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218880&sr=1-1&keywords=Hacksaw+Ridge
The Big Short,88,81,84.5,88,82,6,85,-0.5,Drama,Drama,based on a true story,10.5,"1,05,31,026",37.2,"3,72,04,389",63.1,"6,30,86,636","10,02,91,025",100,62.90%,28,358%,37.61%,2016,Oscar Winner,Writing (adapted screenplay),https://www.amazon.com/Big-Short-Christian-Bale/dp/B019969US8/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1481218942&sr=1-1&keywords=The+Big+Short
Black Christmas,40,50,45,31,19,12,25,20,thriller,"Thriller, Horror",remake / reboot,4.2,"42,40,245",9.7,"97,47,760",8.1,"81,00,000","1,78,47,760",18,45.38%,5,357%,84.80%,2019,,,https://www.amazon.co.uk/Black-Christmas-Imogen-Poots/dp/B0829CKDF1/ref=sr_1_1?crid=3HP1MJCDF1006&keywords=black+christmas+2019&qid=1577973167&s=instant-video&sprefix=Black+Christma2Cinstant-video2C144&sr=1-1
Hostel Part II,45,46,45.5,39,50,-11,44.5,1,horror,horror,sequel,8.2,"82,03,391",17.6,"1,76,09,452",18.0,"1,80,10,069","3,56,19,521",36,50.56%,10,356%,82.03%,2007,,,http://www.amazon.co.uk/Hostel-Part-II-Lauren-German/dp/B00FYH3MWC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386072&sr=1-1&keywords=Hostel+Part+II
The Post,87,83,85,72,69,3,70.5,15,Drama,Drama,based on a true story,19.4,"1,93,61,968",,"8,19,03,458",95.8,"9,57,66,894","17,76,70,352",178,53.90%,50,355%,38.72%,2018,,,https://www.amazon.com/Post-Meryl-Streep/dp/B078XMV6WJ/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546973832&sr=1-2&keywords=The+Post
Rampage,53,45,49,77,60,17,68.5,-20,Action,Action,adaptation,35.8,"3,57,53,093",99.3,"9,93,45,950",326.9,"32,69,00,000","42,62,45,950",426,76.69%,120,355%,29.79%,2018,,,https://www.amazon.com/Rampage-Dwayne-Johnson/dp/B07CCGD3MX/ref=sr_1_2?s=instant-video&ie=UTF8&qid=1546975235&sr=1-2&keywords=Rampage
Night School,28,43,36,43,54,-11,48.5,-13,Comedy,Comedy,original screenplay,27.3,"2,72,57,615",77.3,"7,73,39,130",25.5,"2,55,31,416","10,28,70,546","1,029",24.82%,29,355%,93.99%,2018,,,https://www.amazon.com/Night-School-Kevin-Hart/dp/B07HMMT891/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546975472&sr=1-1&keywords=Night+School
The Amazing Spider-Man 2,53,53,53.0,66,68,-2,67,-14,action,"action, adventure",sequel,91.6,"9,16,08,337",202.9,"20,28,53,933",506.1,"50,61,28,390","70,89,82,323",709,71.39%,200,354%,45.80%,2014,,,http://www.amazon.com/gp/product/B00JPNZPCG/?tag=titb-20
Leap!,37,48,43,63,64,-1,63.5,-21,animation,animation,original screenplay,4.7,"47,30,038",21.9,"2,18,58,070",84.2,"8,41,97,417","10,60,55,487",106,79.39%,30,354%,15.77%,2017,,,https://www.amazon.co.uk/Leap-Marshall-Goldsmith/dp/B07JN82NSS/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1546978228&sr=1-1&keywords=Leap21
National Treasure: Book of Secrets,31,48,39.5,67,57,10,62,-22.5,adventure,adventure,sequel,44.8,"4,47,83,772",220.0,"21,99,64,115",237.4,"23,74,00,485","45,73,64,600",457,51.91%,130,352%,34.45%,2007,,,http://www.amazon.co.uk/National-Treasure-Secrets-Nicolas-Cage/dp/B00H36DEPC/ref=sr_1_1?s=instant-video&ie=UTF8&qid=1457386295&sr=1-1&keywords=National+Treasure3A+Book+of+Secrets
Cloudy With a Chance of Meatballs 2,70,59,64.5,67,71,-4,69,-4.5,sci-fi,"Sci-Fi, Fantasy, Comedy, Animation, Family",sequel,34.0,"3,40,17,930",119.8,"11,97,93,567",154.5,"15,45,32,382","27,43,25,949",274,56.33%,78,352%,43.61%,2013,,,http://www.amazon.com/gp/product/B00304E5NG/?tag=titb-20
The Hangover Part III,19,30,24.5,45,54,-9,49.5,-25,Comedy,Comedy,sequel,41.7,"4,16,71,198",112.2,"11,22,00,072",249.8,"24,98,00,000","36,20,00,072",362,69.01%,103,351%,40.46%,2013,,,http://www.amazon.com/gp/product/B00FPGSPQU/?tag=titb-20
